,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
bb_width,2717.146962404251,2084.2904748916626,2822.023274898529,3163.5255284309387,3260.8571887016296,2795.9228115081787,3515.266607284546,3169.2694034576416,2907.345320701599,3340.642518043518,3226.01944065094,3866.935565471649,3691.547179222107
kc_pos,537.4797868728638,495.60050773620605,299.0944013595581,388.87096548080444,277.6540870666504,293.24123430252075,251.03471899032593,111.62127113342285,185.8309907913208,161.9432191848755,331.3465003967285,178.94870281219482,227.23956298828125
squeeze,197.08973026275635,178.73435640335083,193.07974815368652,346.9190893173218,225.7246608734131,227.0764603614807,188.4881296157837,236.64298152923584,225.3560914993286,141.16019916534424,80.01770114898682,137.32569885253906,165.8445119857788
donch_pos_20,1229.0720918178558,1664.0736718177795,1337.535979270935,1985.4345045089722,1793.1733226776123,2383.3016214370728,2036.201732635498,1869.0448956489563,1822.4595398902893,2006.8686275482178,1281.1426730155945,2136.8257179260254,1823.5262656211853
donch_width_20,2618.346335887909,2662.769085407257,2978.5350518226624,2843.0064668655396,3173.5493154525757,2962.1463570594788,3286.595091819763,3035.1818103790283,3329.0600152015686,3269.252691745758,3149.36234998703,3108.837507247925,2828.214285850525
donch_pos_96,3009.72514295578,2913.951361656189,3493.313385486603,3745.30215549469,3776.7466440200806,3631.6560773849487,3072.030097961426,3455.6056427955627,3234.9557976722717,3612.0650210380554,3713.480442047119,2941.5258054733276,3885.5161638259888
donch_width_96,3457.9334568977356,4377.302774906158,4975.874721050262,4775.864284515381,5404.010396003723,5860.8395981788635,6238.161490917206,5774.78878736496,6099.714173316956,5626.596671581268,5802.172292232513,6290.990059375763,6527.043406486511
rv_1,652.7784233093262,877.5377168655396,832.4548010826111,847.65891456604,947.8344416618347,943.8053979873657,1090.82284450531,896.2517757415771,1030.9221539497375,1142.742904663086,1090.570890903473,1076.9467878341675,1002.9642443656921
rv_8,2648.153267145157,2621.1707620620728,2719.7042531967163,3162.8637433052063,3261.5029373168945,3286.0157837867737,3610.8719091415405,3483.5994839668274,4092.163088798523,3602.364983558655,3535.335657119751,3159.1652812957764,3283.706789493561
rv_z_96,2880.0631308555603,3163.1470856666565,2722.935163974762,3415.771683692932,3447.766363143921,3557.434994697571,3963.533396244049,4090.272029876709,3370.825170993805,4520.350421905518,4469.756534576416,4520.7153697013855,3949.0155596733093
rv_rank_1y,8132.145356655121,7877.490821838379,8869.008156776428,9651.598824501038,9881.574966430664,12035.583937168121,12292.929351329803,13684.067986488342,12325.245098114014,13127.40827703476,13084.919490337372,12401.414083480835,12927.60091304779
vol_expansion,1352.8025922775269,1625.4933886528015,1325.9277024269104,1752.2781147956848,1693.650773525238,1445.4192781448364,1430.4832792282104,1935.120506286621,2050.660355091095,1901.7493529319763,1711.8588523864746,1706.0615482330322,1950.6321210861206
vol_of_vol,7573.815006732941,8774.46797800064,9097.767939090729,10307.130783557892,9840.819213867188,10898.67420387268,11682.293210983276,12184.07024717331,11928.388342380524,11849.019283294678,13100.593613624573,13486.612609386444,15171.055478572845
park_20,3159.7867646217346,3470.6303515434265,3691.9121136665344,3745.32719039917,4206.669411659241,4746.630734920502,4315.672999858856,4068.2697052955627,4677.252495765686,4682.567232131958,5333.012743473053,5636.052627563477,5165.175831317902
compression_20,4170.724991559982,3962.7347638607025,4044.795594215393,4054.5879135131836,4717.86882686615,3902.0317273139954,4649.149826526642,4499.579114437103,4976.940605163574,4458.594021320343,4658.335314273834,4726.707142829895,4559.508238792419
n_m1,126.18217301368713,202.80427932739258,131.23432874679565,143.52997016906738,321.401291847229,405.22391986846924,370.3084011077881,482.04944229125977,475.68480110168457,433.1064348220825,597.5254793167114,579.8427982330322,518.8771982192993
absret_z,825.8974871635437,559.1658720970154,758.3690061569214,611.008481502533,597.07421875,800.2242450714111,585.8787002563477,789.746603012085,780.9898781776428,813.184564113617,784.8916239738464,942.372332572937,928.6415801048279
m1_imb,276.4426894187927,166.072030544281,156.4306993484497,176.4449806213379,230.0753002166748,210.74869060516357,215.4431700706482,80.70180892944336,121.15060997009277,116.23371076583862,124.01049995422363,87.33431053161621,79.0798807144165
m1_imb_8,2298.682855606079,2118.1338782310486,2404.169086933136,1912.1756734848022,2133.0145874023438,1914.5489478111267,1961.6734738349915,2180.4580941200256,1618.1903195381165,1715.8642601966858,2049.754138946533,1517.1212453842163,1488.5404357910156
m1_imb_32,3954.3231258392334,4101.366274833679,4258.127640724182,4366.170474529266,4773.079222202301,4724.923765659332,4640.852050304413,4902.622776031494,5456.41832447052,5591.474623203278,5560.003277301788,4917.254680633545,5062.723177433014
efficiency_1,343.8429296016693,333.0947403907776,438.47078943252563,307.620970249176,308.53892755508423,419.35079193115234,364.47294998168945,404.76202964782715,293.1496090888977,395.0158896446228,296.0018391609192,386.5141010284424,329.16001081466675
efficiency_8,748.6880404949188,691.4396805763245,864.5521111488342,637.5677709579468,721.9379777908325,629.8046135902405,874.333655834198,630.5330681800842,936.4088501930237,996.8766775131226,839.7729420661926,876.4926409721375,836.0931735038757
range_sum_z,1230.9407095909119,1206.542202949524,1287.3042249679565,1060.6614413261414,1387.4890809059143,990.9366173744202,1213.697497367859,1584.1467099189758,1828.9154243469238,1716.9947834014893,1748.43705701828,1606.8716959953308,1809.9543299674988
dist_swing_high,2079.8616013526917,2136.5609345436096,2515.026876449585,2920.746864795685,2779.1973161697388,2903.2713265419006,3188.347071647644,3384.225652217865,3453.545699596405,3065.9169669151306,3604.878155708313,3399.951858997345,3194.3526101112366
dist_swing_low,1686.737720489502,1526.0687494277954,1474.8472938537598,1495.5762548446655,1915.757264137268,1848.4669890403748,2281.5494565963745,2102.247338294983,2199.6477427482605,2331.4161353111267,2189.9339213371277,2404.2639994621277,2324.706274032593
hh,317.9371690750122,364.6416516304016,383.25889778137207,268.5322093963623,204.585599899292,284.12713050842285,251.67965984344482,334.331600189209,244.96060943603516,544.5514059066772,313.52715969085693,343.73659896850586,423.47143936157227
ll,378.62221908569336,445.02435779571533,363.46890449523926,664.5846495628357,265.8514099121094,225.74029922485352,338.19832134246826,431.65014839172363,509.5911865234375,347.6880989074707,433.32626247406006,370.34030961990356,368.48640155792236
structure,270.58478927612305,400.3723020553589,321.05278968811035,495.90067768096924,451.4488220214844,511.9331817626953,367.4367046356201,532.3190412521362,370.17194747924805,443.24839782714844,451.27507734298706,429.651611328125,493.8499846458435
bos_up,25.301589965820312,18.298479557037354,16.79034996032715,11.091899871826172,24.42829990386963,19.502659797668457,23.872600555419922,0.0,0.0,9.927410125732422,21.141749382019043,27.436500549316406,7.736189842224121
bos_dn,0.0,0.0,4.9126200675964355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
last_bos_dir,199.3484697341919,107.74320125579834,86.7942008972168,240.88821697235107,180.97794818878174,124.79952049255371,113.34519958496094,275.1926612854004,158.50597953796387,131.23870182037354,233.15889930725098,325.24360179901123,330.2528018951416
choch,0.0,0.0,0.0,4.733570098876953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bars_since_bos,1978.2001113891602,2387.2931270599365,2442.991497039795,2406.2593026161194,2037.1492238044739,2154.0290966033936,2254.998752593994,2578.6034960746765,2542.841986179352,2261.754295349121,2588.2391381263733,2374.457887172699,2491.9800391197205
sweep_high,3.7176098823547363,13.444159984588623,0.0,12.467259883880615,0.0,0.0,8.999190330505371,5.981040000915527,23.44964027404785,0.0,0.0,0.0,16.209199905395508
sweep_low,11.607099533081055,0.0,8.85608959197998,0.0,11.73799991607666,17.658519744873047,0.0,0.0,11.96150016784668,0.0,0.0,12.472999572753906,0.0
sweep_high_8,360.23573064804077,393.88565015792847,329.51130723953247,385.6301565170288,278.21983909606934,422.7352089881897,550.2027072906494,463.8041229248047,489.76290369033813,384.86090326309204,636.1704049110413,550.6114673614502,443.69787883758545
sweep_low_8,478.43105030059814,401.9747896194458,372.6416320800781,453.55457639694214,459.45670318603516,344.47516345977783,460.32450008392334,361.61031770706177,430.6455030441284,358.45413160324097,255.44219779968262,327.3850383758545,376.5234889984131
fvg_bull,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.758700370788574,0.0,0.0,0.0,8.03756046295166,13.561200141906738
fvg_bear,8.395429611206055,0.0,0.0,9.879159927368164,22.268800735473633,31.175399780273438,0.0,0.0,0.0,0.0,0.0,0.0,0.0
